amfi_code,HHI,scheme_name,concentration_level
119092,2064.4766999999997,Axis Bluechip Fund - Regular - Growth,Highly Concentrated
101207,2007.0043,ABSL Small Cap Fund - Regular - Growth,Highly Concentrated
119599,1747.5095999999999,SBI Small Cap Fund - Direct Plan - Growth,Diversified
102885,1747.0902,UTI Nifty 50 Index Fund - Regular - Growth,Diversified
118632,1682.982,Nippon India Large Cap Fund - Regular - Growth,Diversified
148568,1679.2973,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Diversified
120505,1575.7036,ICICI Pru Midcap Fund - Regular - Growth,Diversified
120506,1537.936,ICICI Pru Value Discovery Fund - Regular - Growth,Diversified
125498,1524.1398,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Diversified
120841,1496.8035,Kotak Bluechip Fund - Regular - Growth,Diversified
148569,1493.9642,Mirae Asset Tax Saver Fund - Regular - Growth,Diversified
100033,1475.9225999999999,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Diversified
149323,1416.2096,DSP Midcap Fund - Regular - Growth,Diversified
120503,1408.7026,ICICI Pru Bluechip Fund - Regular - Growth,Diversified
100016,1395.3386,HDFC Top 100 Fund - Regular Plan - Growth,Diversified
148567,1385.8417,Mirae Asset Large Cap Fund - Regular - Growth,Diversified
125497,1365.8554,HDFC Top 100 Fund - Direct Plan - Growth,Diversified
119094,1364.0591000000002,Axis Midcap Fund - Regular - Growth,Diversified
118635,1359.4415000000001,Nippon India ETF Nifty 50 BeES,Diversified
149322,1343.9797,DSP Top 100 Equity Fund - Regular - Growth,Diversified
119093,1308.9424,Axis Bluechip Fund - Direct - Growth,Diversified
102887,1298.0494999999999,UTI Flexi Cap Fund - Regular - Growth,Diversified
101206,1293.3173,ABSL Frontline Equity Fund - Regular - Growth,Diversified
120843,1286.8306,Kotak Flexicap Fund - Regular - Growth,Diversified
120842,1274.3881,Kotak Emerging Equity Fund - Regular - Growth,Diversified
118633,1214.6086,Nippon India Large Cap Fund - Direct - Growth,Diversified
119551,1187.1552,SBI Bluechip Fund - Regular Plan - Growth,Diversified
149324,1186.7710000000002,DSP Small Cap Fund - Regular - Growth,Diversified
102886,1146.9284,UTI Mid Cap Fund - Regular - Growth,Diversified
119095,1096.0535,Axis Small Cap Fund - Regular - Growth,Diversified
120504,1086.7415,ICICI Pru Bluechip Fund - Direct - Growth,Diversified
118634,1083.5772,Nippon India Small Cap Fund - Regular - Growth,Diversified
119552,1080.1069,SBI Bluechip Fund - Direct Plan - Growth,Diversified
119598,1073.4895000000001,SBI Small Cap Fund - Regular Plan - Growth,Diversified
